year;canton;abbr;population;variation absolue;variation pourcent;Naissance vivante;D_ces;Accroissement naturel
1991;Zurich;ZH;1 151 718; 8 469;0.7;13067; 10 807; 2 260
1991;Berne;BE; 949 770; 7 345;0.8;11210; 9 607; 1 781
1991;Lucerne;LU; 326 283; 4 859;1.5;4615; 2 799; 1 816
1991;Uri;UR; 35 363;334;1;445;309;136
1991;Schwytz;SZ; 113 553; 2 478;2.2;1621;910;711
1991;Obwald;OW; 29 712;695;2.4;429;265;164
1991;Nidwald;NW; 34 344;666;2;523;248;275
1991;Glaris;GL; 38 720;520;1.4;523;412;111
1991;Zoug;ZG; 85 882; 1 470;1.7;1072;568;504
1991;Fribourg;FR; 210 783; 4 109;2;3077; 1 853; 1 224
1991;Soleure;SO; 232 600; 3 514;1.5;2809; 2 198;611
1991;Bale-Ville;BS; 195 647; 1 819;0.9;1964; 2 636;-672
1991;Bale-Campagne;BL; 232 333; 1 030;0.4;2677; 1 792;708
1991;Schaffhouse;SH; 72 457;780;1.1;856;718;138
1991;Appenzell Rh.-Ext.;AR; 52 437;884;1.7;736;559;177
1991;Appenzell Rh.-Int.;AI; 14 251;143;1;245;154;91
1991;Saint-Gall;SG; 427 648; 6 472;1.5;6129; 3 763; 2 366
1991;Grisons;GR; 176 188; 2 665;1.5;2345; 1 596;749
1991;Argovie;AG; 506 818; 8 783;1.8;6553; 3 954; 2 599
1991;Thurgovie;TG; 210 542; 4 222;2;3065; 1 829; 1 236
1991;Tessin;TI; 290 000; 3 256;1.1;2898; 2 635;263
1991;Vaud;VD; 587 283; 9 759;1.7;8186; 5 482; 2 704
1991;Valais;VS; 257 730; 5 768;2.3;3561; 1 962; 1 599
1991;Neuchatel;NE; 161 774; 2 052;1.3;1983; 1 690;293
1991;Geneve;GE; 381 404; 2 749;0.7;4739; 3 244; 1 495
1991;Jura;JU; 67 528;739;1.1;872;644;227
1992;Zurich;ZH;1 158 077; 6 359;0.6;13179; 10 677; 2 502
1992;Berne;BE; 953 458; 3 688;0.4;11279; 9 547; 1 910
1992;Lucerne;LU; 331 830; 5 547;1.7;4650; 2 789; 1 861
1992;Uri;UR; 35 544;181;0.5;478;289;189
1992;Schwytz;SZ; 116 090; 2 537;2.2;1686;937;749
1992;Obwald;OW; 30 247;535;1.8;418;252;166
1992;Nidwald;NW; 34 866;522;1.5;518;267;251
1992;Glaris;GL; 38 976;256;0.7;508;382;126
1992;Zoug;ZG; 87 065; 1 183;1.4;1116;578;538
1992;Fribourg;FR; 214 555; 3 772;1.8;3162; 1 840; 1 322
1992;Soleure;SO; 234 878; 2 278;1;2803; 2 079;724
1992;Bale-Ville;BS; 196 634;987;0.5;1918; 2 620;-702
1992;Bale-Campagne;BL; 233 151;818;0.4;2776; 1 765;834
1992;Schaffhouse;SH; 73 028;571;0.8;853;750;103
1992;Appenzell Rh.-Ext.;AR; 53 449; 1 012;1.9;772;565;207
