kt	canton	abr	population	variation_absolue	variation_pourcent
1	Zurich	ZH	1178848	3391	0.3
2	Berne	BE	940928	-951	-0.1
3	Lucerne	LU	341809	1273	0.4
4	Uri	UR	35861	-15	0
5	Schwytz	SZ	123788	1379	1.1
6	Obwald	OW	31440	130	0.4
7	Nidwald	NW	36794	328	0.9
8	Glaris	GL	39161	-249	-0.6
9	Zoug	ZG	93737	1345	1.5
10	Fribourg	FR	227866	3314	1.5
11	Soleure	SO	240777	1513	0.6
12	Bâle-Ville	BS	194913	-846	-0.4
13	Bâle-Campagne	BL	253911	1580	0.6
14	Schaffhouse	SH	73835	-200	-0.3
15	Appenzell Rh.-Ext.	AR	54136	32	0.1
16	Appenzell Rh.-Int.	AI	14833	83	0.6
17	Saint-Gall	SG	443839	1489	0.3
18	Grisons	GR	185999	936	0.5
19	Argovie	AG	531665	2778	0.5
20	Thurgovie	TG	224822	1450	0.6
21	Tessin	TI	304830	-369	-0.1
22	Vaud	VD	606471	794	0.1
23	Valais	VS	272315	1024	0.4
24	Neuchâtel	NE	165232	-26	0
25	Genève	GE	394588	-878	-0.2
26	Jura	JU	68948	-313	-0.5
